Tickers,Analyst Rating,Industry,Working Capital,,,,,Quick Ratio,,,,,EPS,,,,,PE Ratio,,,,,Short to Long Term Debt,,,,,ROE,,,,,Current,,,,,Net Project Margin,,,,,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
KO UN Equity,4.565217495,"Consumer, Non-cyclical",597.00,-5022.00,-1983.00,-6562.00,-4163.00,0.57,0.62,0.69,0.56,0.68,0.39,0.61,0.61,0.48,0.65,22.11,23.72,25.63,25.91,20.38,45535.00,46428.00,43805.00,44155.00,50393.00,36.12,38.54,41.91,49.61,55.82,1.02,0.83,0.92,0.76,0.87,19.30,26.08,27.27,22.52,32.26,5589933.50,5419445,5056596.5,5177568.5,52.11,54.67,46.67,44.88
AVGO UW Equity,4.59375,Technology,2255.00,2174.00,2616.00,3018.00,4370.00,1.05,1.04,1.09,1.21,1.30,1.17,1.74,1.80,2.06,0.78,17.82,28.09,29.69,37.75,33.00,37641.00,37548.00,37565.00,32798.00,45392.00,26.46,12.81,12.22,11.26,11.55,1.27,1.26,1.32,1.44,1.56,8.14,12.52,12.96,14.66,6.57,1079361.25,1165271.125,996645.3125,896072,282.66,313.72,252.44,315.47
XOM UN Equity,2.846153736,Energy,-15056.00,-18544.00,-14187.00,-13937.00,-14524.00,0.48,0.45,0.48,0.47,0.50,0.55,0.73,0.75,1.33,-0.14,18.24,18.07,20.00,27.99,21.06,44336.00,50528.00,52748.00,52628.00,59612.00,9.77,9.36,7.70,7.48,6.10,0.77,0.74,0.78,0.78,0.78,3.81,4.64,5.00,9.03,-1.11,6514603.00,7931499.5,6935172,6698252.5,76.13,70.87,40.47,44.08
ABT UN Equity,4.363636494,"Consumer, Non-cyclical",5296.00,6133.00,5628.00,4804.00,4690.00,0.94,0.98,0.93,0.88,0.83,0.38,0.57,0.54,0.59,0.32,41.55,40.92,38.04,36.34,34.21,19905.00,20067.00,20001.00,19099.00,18272.00,8.41,9.30,10.53,11.97,11.71,1.58,1.68,1.54,1.44,1.43,8.92,12.61,11.89,12.62,7.30,1764113.00,2135156.75,1927378.75,1606907,85.42,86.34,82.73,92.23
CHTR UW Equity,4.257143021,Communications,-8199.00,-6535.00,-8594.00,-5914.00,-7456.00,0.25,0.28,0.23,0.46,0.38,1.13,1.41,1.77,3.36,1.91,50.40,53.34,59.32,58.51,42.62,75389.00,74669.00,76158.00,80333.00,80894.00,3.53,3.73,3.57,4.93,5.54,0.31,0.34,0.28,0.52,0.44,2.26,2.77,3.38,6.07,3.37,519054.94,572933.3125,464273.0938,501789,401.68,497.45,459.55,517.69
USB UN Equity,3.370370388,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.01,1.09,1.16,0.91,0.72,11.60,12.41,12.83,14.03,8.73,57472.00,57421.00,56892.00,64936.00,78642.00,15.20,15.09,15.19,14.54,13.28,#N/A N/A,,,,,30.61,31.42,32.37,26.33,20.37,2845000.75,2511758,2469951.5,2369861.5,53.68,57.71,34.37,35.89
AMD UW Equity,3.682926893,Technology,1913.00,1950.00,2048.00,2238.00,2405.00,1.38,1.36,1.40,1.43,1.55,0.01,0.03,0.11,0.15,0.14,99.62,167.36,125.12,100.08,76.75,1345.00,1280.00,1111.00,728.00,699.00,21.73,13.74,12.66,16.66,20.19,2.08,2.08,2.10,1.95,2.21,1.26,2.29,6.66,7.99,9.07,11900791.00,13578446,12098519,11685038,31.50,48.39,47.52,52.34
MS UN Equity,4.384615421,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.41,1.24,1.28,1.33,1.02,9.00,9.48,9.04,9.83,7.08,378662.00,394428.00,385186.00,379731.00,366568.00,11.19,10.78,10.81,11.76,10.39,#N/A N/A,,,,,17.86,16.03,16.44,16.67,13.01,3276438.50,3956427,3246847,3461611.5,44.21,51.02,37.01,47.79
MU UW Equity,4.441176414,Technology,9189.00,9669.00,10113.00,9850.00,10154.00,1.57,1.77,1.68,1.68,1.75,1.45,0.76,0.51,0.44,0.37,3.77,4.35,7.31,15.83,18.61,6238.00,4909.00,5851.00,6161.00,6023.00,43.33,31.50,18.52,9.98,6.42,2.25,2.79,2.58,2.56,2.74,27.75,17.54,11.52,9.55,8.44,6681911.00,7058978.5,6306515.5,6964913,39.42,53.57,46.37,49.83
EBAY UW Equity,3.548387051,Communications,2165.00,1635.00,1524.00,640.00,1575.00,1.15,1.01,1.03,0.87,1.08,0.58,0.47,0.37,0.69,4.53,18.69,18.20,18.63,14.03,11.87,9961.00,9993.00,8412.00,8422.00,9195.00,41.27,42.68,39.02,39.03,127.90,1.48,1.31,1.41,1.16,1.34,21.47,14.96,11.70,19.71,143.72,5019161.50,4902166.5,4808940.5,4251820.5,39.80,35.78,31.18,54.36
QCOM UW Equity,4.181818008,Technology,5807.00,8351.00,7830.00,7011.00,5539.00,1.33,1.42,1.49,1.54,1.33,0.55,1.77,0.42,0.81,0.41,17.96,11.90,11.52,13.91,10.62,16403.00,16426.00,15933.00,16464.00,16469.00,17.48,23.60,153.46,104.38,117.15,1.55,1.77,1.88,1.76,1.57,13.31,22.30,10.51,18.22,8.97,3847445.50,3829833,3605317.25,3167364,76.66,86.51,70.95,91.87
ACN UN Equity,4.035714149,Technology,3614.25,3589.67,4388.71,4406.70,4227.72,1.23,1.22,1.29,1.29,1.25,1.76,1.96,1.77,2.13,1.94,24.95,25.66,26.13,28.11,21.29,24.12,23.99,22.66,3382.07,3410.21,38.85,39.76,38.58,34.92,34.51,1.35,1.34,1.40,1.39,1.38,10.76,11.26,10.22,11.95,11.08,788970.38,905465.5,781958.375,959013.8125,191.39,208.43,166.05,215.72
TWTR UN Equity,3.075000048,Communications,5634.11,5779.05,5861.82,6787.60,7757.56,4.41,4.27,8.52,9.00,11.73,0.25,1.46,0.05,0.15,-0.01,38.53,45.97,61.52,65.81,105.11,3486.25,3494.04,2545.11,3288.69,4136.99,21.72,33.84,21.55,18.90,15.95,4.47,4.33,8.69,9.15,11.93,24.25,133.06,4.43,11.79,-1.04,4499541.00,4387720.5,4199041.5,5969649,36.25,31.64,24.93,30.87
INTU UW Equity,4,Technology,643.00,1958.00,1628.00,1405.00,1486.00,0.94,1.57,1.44,1.34,1.30,0.73,5.30,-0.17,0.22,0.92,50.44,44.83,43.93,42.64,37.16,413.00,448.00,436.00,775.00,754.00,69.37,48.59,47.43,49.26,50.01,1.32,1.85,1.83,1.80,1.67,12.58,42.11,-4.43,4.89,14.15,595146.81,632119,553559.125,661450.375,270.54,266.41,240.12,305.30
HD UN Equity,4.08571434,"Consumer, Cyclical",1813.00,880.00,1901.00,1609.00,1435.00,0.17,0.21,0.26,0.23,0.17,2.10,2.28,3.18,2.54,2.29,19.37,20.60,22.72,21.34,18.22,29202.00,34198.00,34540.00,35051.00,37377.00,#N/A N/A,,,,,1.11,1.04,1.10,1.08,1.08,8.85,9.53,11.28,10.17,9.62,1319154.88,1487468,1341067.5,1174536.625,211.46,219.96,191.33,248.50
MET UN Equity,4.428571224,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.41,1.78,2.31,0.58,4.78,9.88,8.06,7.31,7.76,4.50,19008.00,19339.00,19386.00,19498.00,18940.00,9.34,10.58,12.57,10.21,14.45,#N/A N/A,,,,,8.47,9.95,11.69,3.46,24.02,1973964.38,2087173.625,1837188.375,1472520.375,50.70,50.95,30.63,35.65
KLAC UW Equity,3.857142925,Technology,2741.77,2546.59,2412.30,2659.20,2665.19,1.68,1.54,1.45,1.67,1.67,1.23,1.36,2.18,2.42,0.50,13.38,13.91,18.73,20.40,15.28,3422.65,3423.38,3528.54,3502.43,3539.98,61.93,54.94,53.27,53.32,39.69,2.61,2.44,2.24,2.55,2.61,17.56,17.31,24.52,25.21,5.51,608810.31,676451.875,608250.375,607726.1875,117.90,175.05,148.50,196.51
SLB UN Equity,4,Energy,4076.00,4560.00,3668.00,2432.00,3004.00,0.88,0.92,0.85,0.76,0.82,0.30,0.36,-8.22,0.24,-5.32,28.15,27.04,23.75,27.33,9.49,16548.00,17076.00,16673.00,16705.00,16642.00,5.57,5.79,-32.86,-33.83,-69.43,1.35,1.39,1.29,1.19,1.23,5.34,5.95,-133.27,4.05,-98.94,4347930.00,4538021,4467924,4296554,39.57,40.82,15.67,17.98
TJX UN Equity,4.800000191,"Consumer, Cyclical",2937.85,1486.19,1667.86,1687.47,1740.38,0.61,0.40,0.39,0.33,0.50,0.69,0.58,0.63,0.69,0.82,26.32,28.12,27.36,32.44,22.76,2233.62,11199.14,11331.71,11470.20,11464.47,60.01,58.56,58.18,57.95,59.51,1.53,1.23,1.25,1.22,1.24,7.56,7.55,7.76,7.93,8.07,2221670.00,2335569.75,2303518.25,1957190.25,54.43,61.63,46.11,51.75
CSX UW Equity,3.85185194,Industrial,1553.00,1133.00,1155.00,1127.00,1610.00,1.62,1.38,1.30,1.37,1.58,1.02,1.08,1.08,0.99,1.00,19.09,19.41,17.01,18.08,14.37,16321.00,16327.00,17290.00,16788.00,17221.00,25.73,26.18,26.60,27.29,26.89,1.81,1.55,1.41,1.52,1.73,27.68,28.42,28.74,26.72,26.97,1841968.88,1982846.375,1887699.875,2030730.25,78.40,72.51,61.27,68.86
CARR UN Equity,3.799999952,Industrial,1517.00,,,,,0.77,,,,,0.46,0.11,,,,#N/A N/A,,,,,11955.00,,,,,#N/A N/A,,,,,1.34,,,,,9.25,2.47,,,,2891417.75,#N/A N/A,3363666.75,3630730.25,#N/A N/A,#N/A N/A,15.44,22.91
NSC UN Equity,3.777777672,Industrial,-963.00,-537.00,-745.00,-219.00,-234.00,0.51,0.54,0.52,0.65,0.67,2.53,2.72,2.50,2.55,1.48,19.51,20.28,18.26,19.21,14.21,11997.00,12063.00,12397.00,12734.00,12207.00,17.56,17.56,17.93,17.80,16.03,0.67,0.78,0.73,0.90,0.90,23.84,24.68,23.13,24.76,14.51,401848.97,411890.7188,369724.125,458811.1875,200.94,195.93,154.75,174.51
SCHW UN Equity,3.799999952,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.69,0.67,0.70,0.62,0.59,16.51,15.17,15.49,17.75,12.97,9002.00,12716.00,9828.00,7952.00,8522.00,19.90,20.06,19.79,19.21,15.92,#N/A N/A,,,,,31.71,31.24,32.00,30.71,28.88,2780008.50,2620012.25,2370096,3469693,40.86,47.34,36.08,33.39
CAT UN Equity,3.666666746,Industrial,11738.00,12054.00,11959.00,12572.00,11070.00,0.91,0.93,0.93,0.98,0.90,3.29,2.85,2.69,2.00,2.00,11.73,11.79,11.23,12.97,11.55,36483.00,36945.00,38546.00,38291.00,37093.00,41.53,42.24,39.24,42.57,35.80,1.43,1.43,1.44,1.47,1.42,13.97,11.23,11.71,8.35,10.27,873787.19,1111124.75,1026155.313,790737.625,135.49,148.34,120.43,127.72
ILMN UW Equity,3.799999952,"Consumer, Non-cyclical",3304.00,3544.00,3603.00,3786.00,3270.00,3.28,5.95,5.99,6.00,3.61,1.58,2.01,1.59,1.63,1.18,54.55,66.22,50.99,52.33,42.10,2513.00,1862.00,1871.00,1881.00,1893.00,24.34,24.72,24.50,23.94,21.86,3.66,6.79,6.82,6.69,4.10,27.54,35.32,25.80,25.08,20.14,415803.84,499413.1875,424622.25,343822,378.23,325.53,278.01,373.10
ADSK UW Equity,3.960000038,Technology,-681.20,-798.40,-1191.80,-1133.40,-559.90,0.62,0.56,0.49,0.54,0.78,0.30,-0.11,0.18,0.30,0.60,576.41,256.18,170.30,,,2087.70,2288.10,2156.00,2043.50,2544.60,#N/A N/A,,,,,0.70,0.64,0.56,0.60,0.83,8.78,-3.29,5.05,7.92,14.66,736685.25,762255,673023.8125,565364.625,172.23,187.12,152.32,240.15
MCO UN Equity,4.111111164,"Consumer, Non-cyclical",892.80,1314.70,904.30,1767.00,1643.00,1.30,1.39,1.17,1.75,1.55,1.96,1.64,2.01,1.91,2.60,25.79,27.75,27.29,30.17,24.84,5596.90,5417.80,5277.40,4752.00,5968.00,811.64,417.83,301.07,265.49,435.82,1.45,1.71,1.42,1.92,1.70,32.66,25.57,30.58,29.12,37.83,247195.14,312500.4063,268908.4375,270208.1875,201.43,241.87,229.16,278.01
ATVI UW Equity,4.599999905,Technology,3742.00,4024.00,4261.00,4377.00,4559.00,2.31,3.08,3.04,2.28,2.54,0.58,0.43,0.27,0.68,0.66,20.94,22.13,24.76,30.80,30.36,2955.00,2962.00,2950.00,2948.00,2675.00,16.75,15.41,14.54,12.43,12.69,2.63,3.46,3.43,2.50,2.78,24.49,23.50,15.91,26.44,28.24,3001430.75,2925776.25,2951028.5,2711919.25,48.15,59.74,61.60,77.51
BLK UN Equity,4.555555344,Financial,#N/A N/A,,,,,#N/A N/A,,,,,6.65,6.46,7.21,8.38,5.19,16.36,18.19,17.45,18.26,15.75,5844.00,6860.00,6842.00,5731.00,6707.00,13.49,13.12,12.66,13.58,13.15,#N/A N/A,,,,,31.47,28.46,30.31,32.71,21.73,334680.66,340859.0938,415740.8125,279129.5938,478.69,504.00,449.52,551.77
ITW UN Equity,2.909090996,Industrial,2114.00,4101.00,4022.00,4099.00,3474.00,1.13,1.97,1.95,2.06,1.90,1.82,1.92,2.05,2.00,1.78,19.32,20.44,20.81,23.73,18.86,7934.00,7993.00,7826.00,7937.00,7694.00,68.20,71.70,76.43,80.29,90.89,1.53,2.87,2.81,2.90,2.71,16.81,17.26,18.97,18.48,17.53,444862.03,496056.5,426663.9375,459687.4063,147.98,178.54,151.04,174.60
ADI UW Equity,4.307692528,Technology,1135.23,715.45,523.38,476.49,140.64,1.55,1.03,0.88,0.85,0.70,0.96,0.99,0.98,0.75,0.55,18.02,19.80,20.50,23.00,19.04,6234.52,5986.53,5690.08,5491.92,5794.19,14.30,13.76,13.16,11.86,10.41,2.34,1.52,1.35,1.32,1.08,23.04,24.10,24.48,19.24,15.64,1003026.81,1144744.75,1002058.313,941589.625,112.86,116.92,95.80,121.24
WBA UW Equity,2.904761791,"Consumer, Cyclical",-5452.00,-6039.00,-7069.00,-9890.00,-9753.00,0.34,0.32,0.32,0.28,0.29,1.25,1.13,0.75,0.95,1.07,11.71,10.59,11.14,12.37,10.13,18041.00,17610.00,16836.00,42055.00,41924.00,19.70,18.57,16.08,15.03,14.41,0.78,0.76,0.73,0.66,0.66,3.35,2.96,1.99,2.46,2.64,2520018.50,2729078.25,2641596.5,2746735,55.19,59.59,42.63,41.98
PRU UN Equity,3.266666651,Financial,#N/A N/A,,,,,#N/A N/A,,,,,2.25,1.73,3.47,2.82,-0.70,8.64,7.95,7.76,7.05,6.67,31282.00,30830.00,30446.00,30854.00,33245.00,6.76,7.49,6.87,7.43,5.12,#N/A N/A,,,,,6.18,4.60,9.39,5.87,-2.01,1065628.00,945496.8125,906386.125,1189278,102.74,93.49,49.14,59.30
AMT UN Equity,4.565217495,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.90,0.97,1.13,1.27,0.94,64.87,60.90,60.63,53.70,49.52,28018.80,27890.40,28406.70,31060.30,31192.00,23.09,26.68,30.27,36.33,42.43,#N/A N/A,,,,,21.91,22.71,25.52,29.25,20.82,650811.25,690061.75,634607,703701.8125,209.04,228.55,235.18,264.21
CB UN Equity,3.349999905,Financial,#N/A N/A,,,,,#N/A N/A,,,,,2.27,2.52,2.40,2.57,0.56,15.09,15.97,16.90,15.79,11.14,13541.00,14972.00,14837.00,15769.00,15681.00,7.56,7.21,6.89,8.43,7.01,#N/A N/A,,,,,13.20,13.49,12.06,13.42,3.27,709704.13,677387.0625,685490.0625,647673.1875,149.62,157.06,110.76,125.57
MSCI UN Equity,3.833333254,Technology,457.13,556.13,641.57,1180.99,821.49,1.48,1.58,1.73,2.23,1.94,2.11,1.48,1.62,1.45,1.75,37.53,43.72,37.63,42.02,43.81,2767.13,2764.74,2762.55,3258.21,3353.43,#N/A N/A,,,,,1.63,1.73,1.86,2.31,2.03,47.98,32.60,34.75,30.20,35.54,188195.27,207597.2969,179794.9531,193862.5938,242.29,262.05,302.49,342.13
MCHP UW Equity,4.625,Technology,-159.70,-172.30,-245.60,-232.60,579.80,0.55,0.56,0.51,0.51,0.81,0.74,0.21,0.46,1.30,0.42,30.37,52.13,55.68,59.06,44.30,10307.00,10224.60,9954.90,9734.40,9621.40,8.31,7.12,7.28,11.98,10.50,0.93,0.93,0.90,0.90,1.35,13.14,3.83,8.14,24.17,7.53,1334720.75,1279563.75,1168769.25,1181281.25,89.23,103.73,73.98,104.61
MNST UW Equity,3.888888836,"Consumer, Non-cyclical",1276.33,1621.27,1646.54,1655.21,1347.18,2.34,2.74,2.73,2.83,2.29,0.48,0.54,0.55,0.47,0.52,27.65,31.65,28.93,31.05,27.10,22.97,21.88,21.70,28.46,30.32,27.42,27.69,27.30,28.47,29.73,3.02,3.30,3.31,3.50,2.92,27.64,26.49,26.37,25.06,26.25,973567.50,1275243,1053033.25,764106.8125,65.92,63.38,58.07,69.26
BIIB UW Equity,3.294117689,"Consumer, Non-cyclical",5793.90,4698.90,4016.00,3518.00,3368.60,1.90,1.53,1.44,1.31,1.28,7.17,7.85,8.40,8.10,8.10,9.39,8.19,7.52,9.22,9.26,6451.80,6443.80,6434.60,6441.10,6365.40,33.47,41.99,38.87,44.64,44.58,2.84,2.46,1.91,1.72,1.73,40.37,41.31,42.94,39.22,39.59,802717.81,782583.1875,757068.25,598431.375,234.25,290.82,311.39,265.12
SHW UN Equity,3.799999952,Basic Materials,-185.40,-1252.68,41.95,109.80,-292.20,0.49,0.44,0.55,0.50,0.48,2.67,5.13,6.28,2.71,3.53,24.01,24.30,28.41,30.09,22.77,11559.20,11179.99,10624.92,10427.50,11515.00,31.07,31.44,35.05,39.25,47.94,0.96,0.80,1.01,1.02,0.94,6.07,9.66,11.84,6.04,7.76,146554.97,175628.5781,143665.4844,175153,466.14,563.41,458.62,582.97
DE UN Equity,4.090909004,Industrial,-5697.00,-6070.10,-6674.00,-7727.00,-5743.00,0.39,0.44,0.42,0.39,0.41,1.56,3.57,2.84,2.30,1.65,16.79,16.74,16.84,17.13,13.13,43056.70,44719.00,45432.00,45334.00,45260.00,33.06,29.81,29.33,28.67,28.15,0.77,0.77,0.74,0.69,0.75,6.24,10.01,8.96,7.30,6.78,436438.59,518752.1563,448280.75,495934.8125,163.42,176.81,143.49,157.90
MKTX UW Equity,3.307692289,"Consumer, Non-cyclical",497.77,522.56,558.18,464.82,503.33,9.80,9.45,8.89,5.75,6.61,1.42,1.30,1.46,1.35,2.01,52.47,65.73,61.91,70.21,55.71,90.85,89.71,92.03,97.99,96.30,30.37,30.35,31.49,29.74,31.80,9.80,9.45,8.89,5.75,6.61,42.19,38.33,41.04,38.74,44.28,120399.60,128143.5859,118457.3438,135837.4063,341.90,374.08,399.03,501.88
AIG UN Equity,4.058823586,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.75,1.26,0.74,1.05,1.99,28.82,33.85,26.19,12.35,9.25,36599.00,37114.00,36085.00,36083.00,35410.00,-0.47,-0.20,2.88,5.47,7.36,#N/A N/A,,,,,5.25,8.83,5.08,7.86,12.11,1688033.50,1868550.5,1744290,1799956.75,54.61,51.40,21.52,29.92
UPS UN Equity,3.571428537,Industrial,1695.00,1210.00,1349.00,1690.00,3543.00,0.96,0.94,0.97,0.99,1.11,1.28,1.95,2.03,-0.12,1.12,15.77,14.54,16.29,15.52,12.79,25751.00,25892.00,26464.00,28167.00,31620.00,189.44,141.30,115.50,141.22,126.93,1.13,1.09,1.11,1.11,1.22,6.47,9.34,9.55,-0.52,5.35,1212732.88,1287761.25,1226162.5,1170138,102.42,116.20,95.68,114.36
CMI UN Equity,3.592592478,"Consumer, Cyclical",3664.00,4161.00,3503.00,3127.00,2808.00,0.83,0.90,0.82,0.78,0.75,4.22,4.29,3.99,1.98,3.42,9.91,10.68,10.33,12.13,10.10,2848.00,2669.00,3118.00,2868.00,3835.00,32.59,33.50,33.85,30.43,28.32,1.57,1.66,1.52,1.50,1.40,11.04,10.85,10.78,5.38,10.20,367027.78,403780.9063,345409.5625,355659.1875,169.15,174.13,142.12,173.45
COF UN Equity,4.333333492,Financial,#N/A N/A,,,,,#N/A N/A,,,,,2.87,3.26,2.71,2.26,-3.10,7.40,8.13,8.28,8.87,8.87,50588.00,49388.00,50224.00,56007.00,55681.00,12.29,11.33,10.79,10.34,4.81,#N/A N/A,,,,,16.84,19.22,16.07,13.63,-16.08,988442.31,970359.125,1040136.75,1066414.75,92.54,101.08,49.42,61.15
APH UN Equity,4.25,Industrial,2478.30,2169.20,2109.60,2078.50,3347.30,1.61,1.31,1.26,1.24,1.81,0.90,0.97,0.95,1.07,0.81,25.64,24.59,25.05,28.36,19.85,3740.90,4152.80,4135.60,3806.10,5092.40,30.04,30.61,28.77,27.02,26.55,2.50,2.06,1.99,1.97,2.54,13.66,14.31,13.34,14.82,13.00,506904.16,545799.3125,494072.0313,571108.625,98.32,107.53,75.34,95.87
DD UN Equity,4.800000191,Basic Materials,20668.00,4166.00,4072.00,1653.00,1847.00,0.90,0.91,0.92,0.64,0.66,0.68,-0.76,0.50,0.24,-0.83,34.87,29.38,25.71,26.16,13.28,45280.00,17767.00,18184.00,18001.00,18130.00,3.38,1.33,1.15,0.73,-0.97,1.72,1.65,1.62,1.20,1.22,9.62,-10.44,6.86,3.38,-11.80,1807546.38,2072038.625,1771879.125,1725618.25,73.74,61.72,35.39,53.72
DOW UN Equity,3.559999943,Basic Materials,7032.00,7748.00,6136.00,7017.00,,0.70,0.71,0.68,0.76,,0.74,0.10,0.45,-3.14,0.32,11.32,12.16,11.22,13.61,7.89,20196.00,20261.00,19156.00,20193.00,,-5.91,,,,,1.61,1.69,1.57,1.63,,5.07,0.68,3.09,-22.77,2.45,1411478.50,1738476.5,1485335.25,1790644,49.31,52.21,30.54,41.59
PEP UW Equity,4.300000191,"Consumer, Non-cyclical",-1173.00,-2716.00,-933.00,-2816.00,2190.00,0.68,0.61,0.72,0.60,0.89,1.01,1.45,1.50,1.27,0.96,22.08,23.74,24.96,24.48,21.12,33198.00,32656.00,34047.00,33628.00,41243.00,100.32,106.37,101.58,49.92,52.33,0.94,0.86,0.95,0.86,1.10,10.97,12.37,12.22,8.56,9.64,2587735.75,2576758,2459856.75,2130295.25,133.02,136.15,131.16,132.85
GLW UN Equity,3.5,Communications,3290.00,2895.00,2556.00,3942.00,3755.00,1.12,0.96,0.83,1.21,1.17,0.61,0.09,0.40,0.01,-0.16,19.00,18.04,16.22,17.34,12.83,6679.00,7245.00,7310.00,8532.00,8462.00,17.57,12.44,10.07,7.82,2.54,2.08,1.85,1.71,2.12,2.18,17.75,3.13,11.49,1.14,-4.02,2101767.75,1715865,1661192.875,2081166.375,33.61,29.68,19.71,26.00
GM UN Equity,4.777777672,"Consumer, Cyclical",-5213.00,-2988.00,-3687.00,-9913.00,6407.00,0.73,0.74,0.73,0.67,0.88,1.50,1.68,1.62,-0.16,0.17,5.69,6.08,6.06,7.57,5.07,108158.00,107616.00,105709.00,104563.00,126500.00,23.95,22.74,21.20,16.32,11.64,0.94,0.96,0.96,0.88,1.07,6.18,6.71,6.63,-0.63,0.90,3574475.75,3638221.5,3497953.75,3286973.5,38.50,35.84,19.55,25.24
DHI UN Equity,4.300000191,"Consumer, Cyclical",10800.90,10628.90,10883.90,11458.40,11673.20,0.38,0.44,0.78,0.78,0.73,0.94,1.28,1.37,1.17,1.32,10.24,10.53,12.37,11.47,6.83,3622.40,3450.60,3399.40,3820.90,4347.10,17.75,17.32,17.03,18.22,19.11,6.84,6.43,6.69,6.63,6.59,8.51,9.68,10.03,10.73,10.73,1024274.50,1249500.375,1065630.625,836377.1875,43.48,53.41,36.85,54.07
MMM UN Equity,2.777777672,Industrial,7249.00,6786.00,10199.00,3749.00,5956.00,1.21,1.15,1.63,0.79,1.02,1.54,1.95,2.75,1.68,2.24,21.42,18.24,17.29,18.89,14.72,17156.00,16672.00,20264.00,21299.00,23342.00,54.53,48.00,47.24,46.02,50.09,2.02,1.93,2.30,1.41,1.65,11.33,13.79,19.81,11.95,16.00,1069527.88,1248858.75,1101490.25,752814.625,172.00,178.62,140.70,157.04
HUM UN Equity,4.440000057,"Consumer, Non-cyclical",7746.00,8621.00,9218.00,8959.00,9721.00,1.32,1.36,1.51,1.47,1.29,4.18,6.96,5.16,3.87,3.58,17.87,15.37,14.65,21.80,18.04,6698.00,6375.00,6781.00,6339.00,8124.00,16.81,22.69,22.98,24.39,22.54,1.65,1.75,1.83,1.82,1.66,3.51,5.79,4.24,3.14,2.50,265732.53,301348.2813,258612.1406,255334.5938,264.65,370.55,327.47,391.89
YUM UN Equity,3.592592478,"Consumer, Cyclical",-141.00,-64.00,561.00,-14.00,491.00,0.62,0.66,1.23,0.77,1.11,0.85,0.94,0.83,1.61,0.28,40.71,43.09,48.90,28.39,22.74,10795.00,10921.00,11297.00,11269.00,11506.00,#N/A N/A,,,,,0.89,0.95,1.57,0.99,1.33,20.89,22.06,19.04,28.81,6.57,948185.00,766425.5625,779708.4375,657808.375,110.24,101.79,70.50,86.56
AMP UN Equity,4.538461685,Financial,#N/A N/A,,,,,#N/A N/A,,,,,2.85,3.61,4.09,3.59,16.11,8.81,9.67,9.70,10.44,5.82,5574.00,5258.00,5215.00,5169.00,3920.00,32.51,33.08,33.90,33.45,56.38,#N/A N/A,,,,,12.53,14.99,16.20,14.88,67.28,396654.69,330153.75,338342.5,453645.5938,150.12,167.67,102.58,145.45
TROW UW Equity,3.235294104,Financial,#N/A N/A,,,,,#N/A N/A,,,,,2.11,2.18,2.26,2.27,1.43,13.30,13.88,14.58,13.99,12.16,161.90,154.90,146.40,146.30,172.60,30.30,30.34,28.40,31.39,29.97,#N/A N/A,,,,,38.62,37.81,38.26,37.13,23.46,620490.63,699196.25,601334.625,656886,110.42,125.52,102.70,122.73
WFC UN Equity,2.866666555,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.21,1.31,0.93,0.61,0.01,11.45,10.89,11.64,12.92,9.22,348341.00,362122.00,359942.00,338000.00,334855.00,12.15,12.67,12.16,10.60,7.42,#N/A N/A,,,,,27.12,28.75,20.95,14.47,3.69,11064763.00,9454725,10280301,11656569,47.77,53.10,28.63,25.34
HPQ UN Equity,3.352941275,Technology,-5263.00,-4918.00,-4896.00,-5116.00,-6390.00,0.35,0.39,0.42,0.42,0.38,0.52,0.51,0.79,0.26,0.47,7.58,9.74,11.50,12.18,9.39,5003.00,5039.00,5058.00,5137.00,6030.00,#N/A N/A,,,,,0.78,0.79,0.80,0.80,0.73,5.46,5.57,8.07,2.52,4.64,4260894.50,3694060.5,3699744.25,4779443,21.16,20.61,15.00,17.07
ROST UW Equity,4.392857075,"Consumer, Cyclical",1394.54,869.19,836.51,748.42,730.89,0.75,0.57,0.56,0.44,0.54,1.21,1.16,1.15,1.04,1.29,21.85,23.05,24.97,25.76,18.91,312.44,3363.98,3358.74,3473.58,3487.90,49.96,49.72,49.80,50.94,49.84,1.69,1.34,1.31,1.26,1.27,10.75,11.09,10.37,9.64,10.34,1395859.13,1245766.875,1254648,1752095.25,100.88,117.43,87.18,88.58
F UN Equity,3.15789485,"Consumer, Cyclical",21958.00,20017.00,16667.00,15915.00,29782.00,1.06,1.04,1.00,0.99,1.14,0.29,0.04,0.11,-0.42,-0.50,7.12,7.75,7.44,7.81,9.22,158390.00,157274.00,155378.00,156721.00,168693.00,8.48,5.98,4.46,0.14,-9.36,1.22,1.20,1.17,1.16,1.32,2.84,0.38,1.15,-4.21,-5.81,18753028.00,18312526,17632956,18422002,10.20,9.16,4.53,6.05
